Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Ad group,Add,,SpeTool,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Square Golf,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,YESOUL,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Vesta Fitness Store,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ZelusFitness,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Keychron,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Gloves.com,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Digital Zakka,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Ghost Boards,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Stronics,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ShapewearUSA.com,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,ROCKSOLAR coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,ROCKSOLAR coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,ROCKSOLAR promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,ROCKSOLAR promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,Promo code ROCKSOLAR,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,Coupon ROCKSOLAR,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,Coupon code ROCKSOLAR,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,Coupon code for ROCKSOLAR,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,Coupon for ROCKSOLAR,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ROCKSOLAR,,,,,,,,,,AG-1,,Enabled,Promo code for ROCKSOLAR,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,LaneWoods Jewelry coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,LaneWoods Jewelry coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,LaneWoods Jewelry promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,LaneWoods Jewelry promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,Promo code LaneWoods Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon LaneWoods Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon code LaneWoods Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon code for LaneWoods Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon for LaneWoods Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,LaneWoods Jewelry,,,,,,,,,,AG-1,,Enabled,Promo code for LaneWoods Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,AMADI Jewelry coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,AMADI Jewelry coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,AMADI Jewelry promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,AMADI Jewelry promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,Promo code AMADI Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon AMADI Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon code AMADI Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon code for AMADI Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon for AMADI Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AMADI Jewelry,,,,,,,,,,AG-1,,Enabled,Promo code for AMADI Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,EAMTI JEWELRY coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,EAMTI JEWELRY coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,EAMTI JEWELRY promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,EAMTI JEWELRY promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,Promo code EAMTI JEWELRY,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,Coupon EAMTI JEWELRY,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,Coupon code EAMTI JEWELRY,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,Coupon code for EAMTI JEWELRY,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,Coupon for EAMTI JEWELRY,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,EAMTI JEWELRY,,,,,,,,,,AG-1,,Enabled,Promo code for EAMTI JEWELRY,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,WOpet coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,WOpet coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,WOpet promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,WOpet promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,Promo code WOpet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,Coupon WOpet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,Coupon code WOpet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,Coupon code for WOpet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,Coupon for WOpet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,WOpet,,,,,,,,,,AG-1,,Enabled,Promo code for WOpet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,HICC Pet coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,HICC Pet coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,HICC Pet promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,HICC Pet promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,Promo code HICC Pet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,Coupon HICC Pet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,Coupon code HICC Pet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,Coupon code for HICC Pet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,Coupon for HICC Pet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,HICC Pet,,,,,,,,,,AG-1,,Enabled,Promo code for HICC Pet,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,SpeTool coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,SpeTool coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,SpeTool promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,SpeTool promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,Promo code SpeTool,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,Coupon SpeTool,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,Coupon code SpeTool,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,Coupon code for SpeTool,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,Coupon for SpeTool,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SpeTool,,,,,,,,,,AG-1,,Enabled,Promo code for SpeTool,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Peter Stone Jewelry coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Peter Stone Jewelry coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Peter Stone Jewelry promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Peter Stone Jewelry promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Promo code Peter Stone Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon Peter Stone Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon code Peter Stone Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon code for Peter Stone Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Coupon for Peter Stone Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Peter Stone Jewelry,,,,,,,,,,AG-1,,Enabled,Promo code for Peter Stone Jewelry,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Square Golf coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Square Golf coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Square Golf promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Square Golf promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Promo code Square Golf,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Coupon Square Golf,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Coupon code Square Golf,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Coupon code for Square Golf,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Coupon for Square Golf,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Square Golf,,,,,,,,,,AG-1,,Enabled,Promo code for Square Golf,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,ATK Gaming Gear coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,ATK Gaming Gear coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,ATK Gaming Gear promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,ATK Gaming Gear promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,Promo code ATK Gaming Gear,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,Coupon ATK Gaming Gear,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,Coupon code ATK Gaming Gear,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,Coupon code for ATK Gaming Gear,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,Coupon for ATK Gaming Gear,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ATK Gaming Gear,,,,,,,,,,AG-1,,Enabled,Promo code for ATK Gaming Gear,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Organic Muscle Fitness Supplements coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Organic Muscle Fitness Supplements coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Organic Muscle Fitness Supplements promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Organic Muscle Fitness Supplements promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Promo code Organic Muscle Fitness Supplements,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Coupon Organic Muscle Fitness Supplements,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Coupon code Organic Muscle Fitness Supplements,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Coupon code for Organic Muscle Fitness Supplements,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Coupon for Organic Muscle Fitness Supplements,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Organic Muscle Fitness Supplements,,,,,,,,,,AG-1,,Enabled,Promo code for Organic Muscle Fitness Supplements,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,YESOUL coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,YESOUL coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,YESOUL promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,YESOUL promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,Promo code YESOUL,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,Coupon YESOUL,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,Coupon code YESOUL,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,Coupon code for YESOUL,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,Coupon for YESOUL,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,YESOUL,,,,,,,,,,AG-1,,Enabled,Promo code for YESOUL,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Vesta Fitness Store,,,,,,,,,,AG-1,,Enabled,Vesta Fitness Store coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Vesta Fitness Store,,,,,,,,,,AG-1,,Enabled,Vesta Fitness Store coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Vesta Fitness Store,,,,,,,,,,AG-1,,Enabled,Vesta Fitness Store promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Vesta Fitness Store,,,,,,,,,,AG-1,,Enabled,Vesta Fitness Store promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
